project_id,worksite_id,worksite_name,award_year,place_fip,geo_id,name,name_w_type,type_code,fips_code,area_land,area_water
702449,7001763,Campbell Creek - culvert modification,1985,34540,0634540,Hoopa,Hoopa CDP,57,U1,52865786,2013972
702449,7001761,Supply Creek - spawning gravel placement,1985,34540,0634540,Hoopa,Hoopa CDP,57,U1,52865786,2013972
702458,7001776,Carmel River - steelhead rearing,1985,11324,0611324,Carmel Valley Village,Carmel Valley Village CDP,57,U1,49166228,507112
702470,7001787,Chinook Mixed Fishery Management Research,1986,18100,0618100,Davis,Davis city,25,C1,25826324,90331
702494,7001803,Devils Gulch - culvert maintenance/repair,1985,32562,0632562,Hayfork,Hayfork CDP,57,U1,186854161,58222
702497,7001806,Tule Creek - restoration planning,1985,32562,0632562,Hayfork,Hayfork CDP,57,U1,186854161,58222
702499,7001807,Merced River - instream vegetation removal,1989,42006,0642006,Livingston,Livingston city,25,C1,9518104,7397
702518,7001820,San Geronimo Creek - Site E (livestock exclusion fencing/riparian restoration),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001816,Lagunitas Creek Watershed - Site A (road upgrade),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001818,San Geronimo Creek - Site C (bank stabilization),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001822,San Geronimo Creek tributary - Site G (dam repair),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001825,Devils Gulch Creek - Sites J-L (bank stabilization and instream habitat improvements),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001819,San Geronimo Creek - Site D (bank stabilization),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001817,Lagunitas Creek Watershed - Site B (culvert upgrade),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001821,San Geronimo Creek tributary - Site F (riparian fencing/plantings),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702518,7001824,Lagunitas Creek tributary -  Sites H-I (bank stabilization and riparian fencing),1985,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
702520,7001832,Santa Ana River Habitat Enhancement,1985,65000,0665000,San Bernardino,San Bernardino city,25,C1,160920195,853495
702527,7001839,Low Water Crossings on Deep Creek Wild Trout Tributaries,1985,65000,0665000,San Bernardino,San Bernardino city,25,C1,160920195,853495
702531,7210041,"Salmon and Steelhead Habitat Restoration Projects, Del Norte Center - Klamath CP",1985,38702,0638702,Klamath,Klamath CDP,57,U1,44592620,0
702649,7001897,Zayante Creek - fish passage improvement/riparian plantings,1985,87090,0687090,Zayante,Zayante CDP,57,U1,7308969,0
702655,7001915,Trinity River - Steelbridge Site (gravel ripping),1985,41278,0641278,Lewiston,Lewiston CDP,57,U1,51843522,0
702655,7001913,Trinity River - Smith Site (gravel ripping),1985,41278,0641278,Lewiston,Lewiston CDP,57,U1,51843522,0
702655,7001914,Trinity River - Lewiston Site (gravel ripping),1985,41278,0641278,Lewiston,Lewiston CDP,57,U1,51843522,0
702662,7001921,Klamath Sonar Test Program - Happy Camp CP,1985,32030,0632030,Happy Camp,Happy Camp CDP,57,U1,31357295,618829
702667,7001935,Cochran Creek  - Rearing Ponds,1985,17722,0617722,Cutten,Cutten CDP,57,U1,3318362,0
702667,7001934,Humboldt Bay - saltwater rearing ponds,1985,17722,0617722,Cutten,Cutten CDP,57,U1,3318362,0
702667,7001936,Freshwater Creek - Hatchery Facility (Chinook and Coho rearing),1985,17722,0617722,Cutten,Cutten CDP,57,U1,3318362,0
702787,7001949,Thompson Gulch - fish barrier removal,1985,32562,0632562,Hayfork,Hayfork CDP,57,U1,186854161,58222
702792,7001953,Tularcitos Creek - rescue stranded steelhead,1986,11324,0611324,Carmel Valley Village,Carmel Valley Village CDP,57,U1,49166228,507112
702796,7001964,Lake Oroville - Craig Saddle (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001961,Lake Oroville - Foreman Creek (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001962,Lake Oroville - Potter Ravine (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001960,Lake Oroville - Bloomer Ravine (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001956,Lake Oroville - Lime Saddle (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001957,Lake Oroville - Rich Gulch (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001959,Lake Oroville - Spring Valley (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001963,Lake Oroville - Bidwell Canyon (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001958,Lake Oroville - Dark Canyon (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702796,7001965,Lake Oroville - McCabe (artificial reef),1986,06070,0606070,Berry Creek,Berry Creek CDP,57,U1,147940054,154403
702799,7001970,Rowdy Creek - Rowdy Creek Fish Hatchery (hatchery operations),1986,72380,0672380,Smith River,Smith River CDP,57,U1,11461740,38079
702800,7001971,High Prairie Creek Fish Rearing,1986,38702,0638702,Klamath,Klamath CDP,57,U1,44592620,0
702802,7001973,Rowdy Creek - fish hatchery facility (filter system installation),1986,72380,0672380,Smith River,Smith River CDP,57,U1,11461740,38079
702842,7002009,Tule Creek - surveys/restoration planning,1986,32562,0632562,Hayfork,Hayfork CDP,57,U1,186854161,58222
702843,7002010,"Eel River, S Fk - steelhead rearing/release",1986,28154,0628154,Garberville,Garberville CDP,57,U1,6940712,148102
702844,7002013,Eagle Creek Rearing Facility - steelhead and Coho rearing,1986,69112,0669112,Santa Cruz,Santa Cruz city,25,C1,32996599,7998548
702844,7002012,Salinas Pen Rearing Facility - steelhead and Coho rearing,1986,69112,0669112,Santa Cruz,Santa Cruz city,25,C1,32996599,7998548
702844,7002011,Big Creek - Big Creek Fish Hatchery (hatchery operations),1986,69112,0669112,Santa Cruz,Santa Cruz city,25,C1,32996599,7998548
702889,7002035,Bean Creek,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002036,Love Creek - culvert upgrade,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002028,San Lorenzo River - culvert upgrade,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002030,Hester Creek - culvert upgrade,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002031,Moore's Gulch - fish passage improvement,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002034,Carbonera Creek - fish passage improvement,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002033,Mill Creek - sediment detention basin,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002032,Shingle Mill Gulch - culvert upgrade,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702889,7002029,Clear Creek - fish passage improvement,1986,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
702896,7002065,Ambrose Property Rearing Ponds Operations,1989,19724,0619724,Douglas City,Douglas City CDP,57,U1,78799839,32384
702977,7002086,Supply Creek - rearing tanks (Chinook rearing),1987,34540,0634540,Hoopa,Hoopa CDP,57,U1,52865786,2013972
702977,7002087,Tish-Tang-A-Tang  Creek - rearing pond (Chinook rearing),1987,34540,0634540,Hoopa,Hoopa CDP,57,U1,52865786,2013972
702977,7002085,Mill Creek - rearing ponds (Chinook rearing),1987,34540,0634540,Hoopa,Hoopa CDP,57,U1,52865786,2013972
702980,7002089,Salmon Creek - riparian fencing and plantings,1987,53266,0653266,Occidental,Occidental CDP,57,U1,12862112,0
702981,7002090,Corte Madera Creek (Doug Bosco Fish Ladder) - improve fish ladder,1987,38114,0638114,Kentfield,Kentfield CDP,57,U1,7839024,49346
702982,7002091,Smith River - fish rearing facility,1987,29154,0629154,Gasquet,Gasquet CDP,57,U1,12318649,171875
702983,7002092,Yreka Creek - bank stabilization,1987,86944,0686944,Yreka,Yreka city,25,C1,25861889,188154
702984,7002093,Humboldt Bay - Arcata Aquaculture Project,1987,02476,0602476,Arcata,Arcata city,25,C1,24399923,5229392
702992,7002101,Salmonids in the Classroom,1987,85600,0685600,Willits,Willits city,25,C1,7296486,1546
702995,7002103,Eureka Schools Aquatic Ecology Program,1987,23042,0623042,Eureka,Eureka city,25,C1,24698637,13130764
703007,7002107,Fishery Management Plans Development - Sacramento CP,1987,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703095,7002109,Wildcat Creek (Alvarado Park) - bank stabilization/passage improvement/instream structures,1987,21061,0621061,East Richmond Heights,East Richmond Heights CDP,57,U1,1501846,0
703137,7002120,San Pedro Creek - fish ladder improvement,1987,54806,0654806,Pacifica,Pacifica city,25,C1,32589429,23854
703154,7002153,San Pablo Bay - mobile net pens,1998,16000,0616000,Concord,Concord city,25,C1,79130630,0
703184,7002155,Eel River Watershed - Fortuna River Lodge (salmon restoration conference),1998,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
703245,7002162,Reading Creek - diversion dam removal,1998,19724,0619724,Douglas City,Douglas City CDP,57,U1,78799839,32384
703415,7002184,Dave Powers Creek (I Street Bridge) - barrier modification,1983,07162,0607162,Blue Lake,Blue Lake city,25,C1,1537386,75886
703429,7002196,Kingsbury Gulch Fishway Project,1984,32562,0632562,Hayfork,Hayfork CDP,57,U1,186854161,58222
703441,7002211,Eel River Watershed - Pacific Lumber Company (educational signs),1996,70518,0670518,Scotia,Scotia CDP,57,U1,1932251,247386
703449,7002214,Talmadge Rearing Ponds and Hatchery,1984,81134,0681134,Ukiah,Ukiah city,25,C1,12390978,116878
703452,7002217,Salmon Stamp Logo and Brochures - Sacramento CP,1992,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703453,7002218,Yreka Creek - Yreka Creek Trail (interpretive signage),1989,86944,0686944,Yreka,Yreka city,25,C1,25861889,188154
703469,7002241,Coastal Southern California - fish study - LA CP,1988,44000,0644000,Los Angeles,Los Angeles city,25,C1,1215978552,83031312
703471,7002243,CCC Salmon and Steelhead Projects - Fortuna CP,1988,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
703487,7002299,Dana Gray School - salmonid education,1989,25058,0625058,Fort Bragg,Fort Bragg city,25,C1,7508182,86606
703488,7002300,Ocean Salmon Stock Analysis Project - Sacramento CP,1989,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703500,7002314,Nimbus Fish Hatchery - interpretive and educational services,1989,30345,0630345,Gold River,Gold River CDP,57,U1,6884489,213093
703513,7002328,Salmon Protection and Enhancement Program - Sacramento CP,1988,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703514,7002329,Trout Population and Habitat Evaluation - Berkeley CP,1988,06000,0606000,Berkeley,Berkeley city,25,C1,27018309,18712737
703516,7002331,Development of Preserve Designs for Native California Fishes - Sacramento CP,1988,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703518,7002333,Propagation of Flood Tolerant Plants - Sacramento,1988,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703520,7002336,Mitchell Senior Elementary - salmonid education,1992,03162,0603162,Atwater,Atwater city,25,C1,17008587,11735
703521,7002337,Pioneer High School - salmonid education,1993,68000,0668000,San Jose,San Jose city,25,C1,461691712,8089813
703533,7002383,Cloney Gulch - Coho habitat analysis,1995,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
703533,7002381,Little Lost Man Creek - Coho habitat analysis,1995,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
703533,7002380,"Mill Creek, W Br - Coho habitat analysis",1995,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
703533,7002384,"Noyo River, Little N Fk - Coho habitat analysis",1995,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
703533,7002382,"Little River, Lower S Fk - Coho habitat analysis",1995,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
703534,7002385,Sacramento River - spawning gravel placement,1995,59920,0659920,Redding,Redding city,25,C1,154482290,3954285
703536,7002387,Sacramento/San Joaquin River Watersheds - spawning gravel assessment,1992,41474,0641474,Lincoln,Lincoln city,25,C1,62599874,110309
703537,7002388,Nimbus Fish Hatchery - interpretive and educational program,1992,30345,0630345,Gold River,Gold River CDP,57,U1,6884489,213093
703539,7002390,Nimbus Fish Hatchery - interpretive services,1990,30345,0630345,Gold River,Gold River CDP,57,U1,6884489,213093
703540,7002392,Monterey Bay - Moss Landing Pen site,1991,41922,0641922,Live Oak,Live Oak CDP,57,U1,8398178,0
703540,7002391,Big Creek - Big Creek Hatchery (Chinook rearing),1991,41922,0641922,Live Oak,Live Oak CDP,57,U1,8398178,0
703548,7002413,Nimbus Fish Hatchery - interpretive program,1989,30345,0630345,Gold River,Gold River CDP,57,U1,6884489,213093
703550,7002415,New Hogan Lake - Wrinkle Cove (cover enhancement/riparian plantings),1993,81890,0681890,Valley Springs,Valley Springs CDP,57,U1,10344077,0
703562,7002429,New Hogan Reservoir (Wrinkle Cove) - cover enhancement/riparian plantings,1996,81890,0681890,Valley Springs,Valley Springs CDP,57,U1,10344077,0
703567,7002434,Carquinez Strait - Benicia Point (Chinook holding pens),1993,05290,0605290,Benicia,Benicia city,25,C1,33185400,3386032
703569,7002436,Stanislaus Fly-Fishermen Salmonid in the Classroom Project,1995,48354,0648354,Modesto,Modesto city,25,C1,111485793,4740717
703572,7002443,Salmon Education Equipment Upgrade -  Eel River Salmon Restoration,1999,60088,0660088,Redway,Redway CDP,57,U1,3239490,55629
703573,7002444,New Hogan Reservoir - Wrinkle Cove (cover improvement),1999,81890,0681890,Valley Springs,Valley Springs CDP,57,U1,10344077,0
703582,7002454,Monterey Harbor - net pens (Chinook acclimation),1997,48872,0648872,Monterey,Monterey city,25,C1,22390414,9365025
703583,7002455,McDaniel Slough - instream habitat structures/bank stabilization and plantings,1998,02476,0602476,Arcata,Arcata city,25,C1,24399923,5229392
703585,7002457,Corte Madera Creek - fishway construction,1981,40438,0640438,Larkspur,Larkspur city,25,C1,7767799,566326
703588,7002462,California Salmon Protection and Enhancement - Fortuna CP,1992,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
703589,7002463,"Alameda, Contra Costa, Monterey, San Benito, San Francisco, San Mateo, Santa Clara, Santa Cruz counties - STEP training",2001,68000,0668000,San Jose,San Jose city,25,C1,461691712,8089813
703614,7002516,Trinity River - Salt Flat Bridge (bridge upgrade),2001,41278,0641278,Lewiston,Lewiston CDP,57,U1,51843522,0
703615,7002520,Steelhead ESUs 10 and 11 - organizational support,2001,69070,0669070,Santa Barbara,Santa Barbara city,25,C1,50523520,58265316
703618,7002523,Central Valley Spring-Run Chinook ESU - organizational support,2001,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703638,7007502,Eel River Watershed - River Lodge Conference Center (public/landowner workshops),2001,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
703642,7002591,San Francisquito Creek - Waverly Street Barrier (fish passage improvement),2001,03092,0603092,Atherton,Atherton town,43,C1,12991701,82320
703642,7002588,Bear Creek - Barrier 1 (fish passage improvement),2001,03092,0603092,Atherton,Atherton town,43,C1,12991701,82320
703642,7002590,West Union Creek - Barrier 19 (fish passage improvement),2001,03092,0603092,Atherton,Atherton town,43,C1,12991701,82320
703646,7002598,Mynot Creek - Mynot Creek Road (fish passage improvement),2001,38702,0638702,Klamath,Klamath CDP,57,U1,44592620,0
703655,7002652,California Coastal Anadromous Watersheds - Adaptive Watershed Improvement Project 01/02,2001,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
703692,7002705,San Luis Obispo - salmonid restoration conference,2001,68154,0668154,San Luis Obispo,San Luis Obispo city,25,C1,34458922,379316
703699,7205434,Rowdy Creek - classroom salmonid release site,2001,25086,0625086,Fort Dick,Fort Dick CDP,57,U1,8331464,662
703699,7002719,Jordan Creek - riparian plantings,2001,25086,0625086,Fort Dick,Fort Dick CDP,57,U1,8331464,662
703699,7205432,Hunter Creek - Alexandre Dairy (bioengineering bank stabilization),2001,25086,0625086,Fort Dick,Fort Dick CDP,57,U1,8331464,662
703699,7205433,Tryon Creek - Alexandre Dairy (riparian plantings),2001,25086,0625086,Fort Dick,Fort Dick CDP,57,U1,8331464,662
703712,7002931,Jolly Giant Creek - 11th Street (fish passage improvement),2001,02476,0602476,Arcata,Arcata city,25,C1,24399923,5229392
703716,7002973,San Luis Obispo and Santa Barbara Counties - salmonid education,2001,68154,0668154,San Luis Obispo,San Luis Obispo city,25,C1,34458922,379316
703725,7002985,"Eel River, lower; Eel River, S Fk; and Van Duzen River Watersheds - organizational support",2001,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
703738,7002999,Shasta River Watershed - watershed coordination,2001,86944,0686944,Yreka,Yreka city,25,C1,25861889,188154
703743,7205435,City of Etna - Etna Union High School (watershed education program),2001,22972,0622972,Etna,Etna city,25,C1,1967952,2444
703752,7003036,Big Lagoon - restoration design/planning,2001,49950,0649950,Muir Beach,Muir Beach CDP,57,U1,1276408,0
703755,7003057,"Santa Cruz County watersheds (San Lorenzo, Arana, Soquel, Aptos, Corralitos) - stream crossing assessment/planning",2001,70588,0670588,Scotts Valley,Scotts Valley city,25,C1,11961717,0
703762,7003064,Smith River Watershed - community education and outreach,2001,17022,0617022,Crescent City,Crescent City city,25,C1,5085115,1169624
703765,7003067,Indian Creek - Indian Creek Ranch (dam removal/diversion improvement),2001,19724,0619724,Douglas City,Douglas City CDP,57,U1,78799839,32384
703778,7003115,Feliz Creek - instream habitat strucutres/riparian restoration,2001,34652,0634652,Hopland,Hopland CDP,57,U1,9128964,124597
703788,7003161,"San Luis Obispo, Santa Barbara and Ventura Counties - organizational support",2001,69070,0669070,Santa Barbara,Santa Barbara city,25,C1,50523520,58265316
703798,7003175,San Francisquito Creek - fish barrier removal planning,2001,46870,0646870,Menlo Park,Menlo Park city,25,C1,25873981,19152744
703800,7003177,Lagunitas Creek Watershed and Pine Gulch Creek Watershed - coho and steelhead monitoring,2001,39283,0639283,Lagunitas-Forest Knolls,Lagunitas-Forest Knolls CDP,57,U2,10998147,0
703814,7003209,Gualala River Watershed - landowner education and outreach,2001,70712,0670712,Sea Ranch,Sea Ranch CDP,57,U1,41742090,277559
703828,7003228,Mendocino County - watershed monitoring education/training,2001,85600,0685600,Willits,Willits city,25,C1,7296486,1546
703845,7003252,Santa Rosa Creek - downtown Santa Rosa (instream habitat structures/bank stabilization),2001,70098,0670098,Santa Rosa,Santa Rosa city,25,C1,110145874,451570
703854,7205465,High Prarie Creek - stream habitat assessment/restoration planning,2001,38702,0638702,Klamath,Klamath CDP,57,U1,44592620,0
703854,7000007,Salt Creek Watershed - habitat assessment/planning,2001,38702,0638702,Klamath,Klamath CDP,57,U1,44592620,0
703854,7205464,Salt Creek - stream habitat assessment/restoration planning,2001,38702,0638702,Klamath,Klamath CDP,57,U1,44592620,0
703867,7000020,"Select California Counties (Del Norte, Humboldt, Trinity, Siskiyou, Mendocino) - organizational support",2001,83794,0683794,Weaverville,Weaverville CDP,57,U1,33363065,0
703868,7000021,San Geronimo Creek Watershed - erosion control planning,1999,67070,0667070,San Geronimo,San Geronimo CDP,57,U1,3906938,0
703877,7000035,Humboldt County - technical training and assistance,1999,50188,0650188,Myrtletown,Myrtletown CDP,57,U1,5436579,212721
703890,7002851,Gualala River Watershed - education/outreach,1999,70712,0670712,Sea Ranch,Sea Ranch CDP,57,U1,41742090,277559
704000,7002861,Los Osos Creek - Morrissey Property (instream and riparian habitat improvement),1999,44182,0644182,Los Osos,Los Osos CDP,57,U1,33057047,52650
704001,7002863,Napa River - Site 2 (Arundo donax removal),1999,64140,0664140,St. Helena,St. Helena city,25,C1,12832970,325922
704001,7002862,Napa River - Site 1 (Arundo donax removal),1999,64140,0664140,St. Helena,St. Helena city,25,C1,12832970,325922
704001,7002864,Napa River - Site 3 (Arundo donax removal),1999,64140,0664140,St. Helena,St. Helena city,25,C1,12832970,325922
704003,7002866,Salinas River Watershed (upper) - organizational support,1999,78162,0678162,Templeton,Templeton CDP,57,U1,20484545,0
704008,7002875,Shasta River Watershed - organizational support,1999,83850,0683850,Weed,Weed city,25,C1,12479111,13340
704010,7002878,Sullivan Gulch/Riverside Drive - culvert barrier improvement,1999,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
704010,7002881,"Anker Creek, N Fk/Fieldbrook Road Culvert - culvert barrier improvement",1999,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
